checkpoint,trial_type,trial_id,selected_freqs,train_pre_loss,train_pre_acc,train_post_loss,train_post_acc,test_pre_loss,test_pre_acc,test_post_loss,test_post_acc,delta_train_loss,delta_train_acc,delta_test_loss,delta_test_acc
pre,target,,"(1, 11, 42)",4.743740558624268,0.009241854771971703,4.743738174438477,0.008771929889917374,4.745243549346924,0.008457321673631668,4.7452521324157715,0.0070477682165801525,-2.384185791015625e-06,-0.0004699248820543289,8.58306884765625e-06,-0.0014095534570515156
pre,random_k,0.0,"(13, 48, 30)",4.743740558624268,0.009241854771971703,4.743717670440674,0.009711779654026031,4.745243549346924,0.008457321673631668,4.745228290557861,0.008300704881548882,-2.288818359375e-05,0.0004699248820543289,-1.52587890625e-05,-0.00015661679208278656
pre,random_k,1.0,"(27, 56, 13)",4.743740558624268,0.009241854771971703,4.743721008300781,0.009868420660495758,4.745243549346924,0.008457321673631668,4.745224475860596,0.008457321673631668,-1.9550323486328125e-05,0.0006265658885240555,-1.9073486328125e-05,0.0
pre,random_k,2.0,"(12, 29, 18)",4.743740558624268,0.009241854771971703,4.743721961975098,0.009868420660495758,4.745243549346924,0.008457321673631668,4.745220184326172,0.007987470366060734,-1.8596649169921875e-05,0.0006265658885240555,-2.3365020751953125e-05,-0.0004698513075709343
pre,random_k,3.0,"(32, 12, 41)",4.743740558624268,0.009241854771971703,4.74373722076416,0.009868420660495758,4.745243549346924,0.008457321673631668,4.745202541351318,0.008927172981202602,-3.337860107421875e-06,0.0006265658885240555,-4.100799560546875e-05,0.0004698513075709343
pre,random_k,4.0,"(39, 45, 49)",4.743740558624268,0.009241854771971703,4.743702411651611,0.009085212834179401,4.745243549346924,0.008457321673631668,4.745245933532715,0.007830853573977947,-3.814697265625e-05,-0.00015664193779230118,2.384185791015625e-06,-0.0006264680996537209
pre,random_k,5.0,"(56, 36, 12)",4.743740558624268,0.009241854771971703,4.743669509887695,0.00955513771623373,4.745243549346924,0.008457321673631668,4.7452802658081055,0.007361002266407013,-7.104873657226562e-05,0.00031328294426202774,3.6716461181640625e-05,-0.0010963194072246552
pre,random_k,6.0,"(25, 17, 8)",4.743740558624268,0.009241854771971703,4.743809700012207,0.01018170453608036,4.745243549346924,0.008457321673631668,4.745147228240967,0.008613938465714455,6.914138793945312e-05,0.0009398497641086578,-9.632110595703125e-05,0.00015661679208278656
pre,random_k,7.0,"(34, 37, 48)",4.743740558624268,0.009241854771971703,4.743793487548828,0.008928571827709675,4.745243549346924,0.008457321673631668,4.745141983032227,0.007830853573977947,5.2928924560546875e-05,-0.00031328294426202774,-0.00010156631469726562,-0.0006264680996537209
pre,random_k,8.0,"(46, 54, 26)",4.743740558624268,0.009241854771971703,4.74371337890625,0.009085212834179401,4.745243549346924,0.008457321673631668,4.745269298553467,0.007987470366060734,-2.7179718017578125e-05,-0.00015664193779230118,2.574920654296875e-05,-0.0004698513075709343
pre,random_k,9.0,"(26, 38, 46)",4.743740558624268,0.009241854771971703,4.743688583374023,0.009241854771971703,4.745243549346924,0.008457321673631668,4.745273113250732,0.008927172981202602,-5.1975250244140625e-05,0.0,2.956390380859375e-05,0.0004698513075709343
pre,random_k,10.0,"(47, 56, 18)",4.743740558624268,0.009241854771971703,4.743679046630859,0.00939849577844143,4.745243549346924,0.008457321673631668,4.7452802658081055,0.00814408715814352,-6.151199340820312e-05,0.00015664100646972656,3.6716461181640625e-05,-0.00031323451548814774
pre,random_k,11.0,"(53, 8, 19)",4.743740558624268,0.009241854771971703,4.743747711181641,0.009241854771971703,4.745243549346924,0.008457321673631668,4.745204925537109,0.006734534166753292,7.152557373046875e-06,0.0,-3.8623809814453125e-05,-0.001722787506878376
pre,random_k,12.0,"(7, 15, 9)",4.743740558624268,0.009241854771971703,4.743773937225342,0.01002506259828806,4.745243549346924,0.008457321673631668,4.7451863288879395,0.007987470366060734,3.337860107421875e-05,0.0007832078263163567,-5.7220458984375e-05,-0.0004698513075709343
