checkpoint,trial_type,trial_id,selected_freqs,train_pre_loss,train_pre_acc,train_post_loss,train_post_acc,test_pre_loss,test_pre_acc,test_post_loss,test_post_acc,delta_train_loss,delta_train_acc,delta_test_loss,delta_test_acc
pre,target,,"(1, 11, 42)",4.7435431480407715,0.007310704793781042,4.743353366851807,0.007571801543235779,4.744898796081543,0.009508893825113773,4.744984149932861,0.00805459264665842,-0.00018978118896484375,0.0002610967494547367,8.535385131835938e-05,-0.0014543011784553528
pre,random_k,0.0,"(13, 48, 30)",4.7435431480407715,0.007310704793781042,4.743484020233154,0.008093995042145252,4.744898796081543,0.009508893825113773,4.74489688873291,0.009397024288773537,-5.91278076171875e-05,0.0007832902483642101,-1.9073486328125e-06,-0.00011186953634023666
pre,random_k,1.0,"(27, 56, 13)",4.7435431480407715,0.007310704793781042,4.74356746673584,0.007571801543235779,4.744898796081543,0.009508893825113773,4.744861125946045,0.009844501502811909,2.4318695068359375e-05,0.0002610967494547367,-3.7670135498046875e-05,0.0003356076776981354
pre,random_k,2.0,"(12, 29, 18)",4.7435431480407715,0.007310704793781042,4.743445873260498,0.007571801543235779,4.744898796081543,0.009508893825113773,4.744909763336182,0.009508893825113773,-9.72747802734375e-05,0.0002610967494547367,1.0967254638671875e-05,0.0
pre,random_k,3.0,"(32, 12, 41)",4.7435431480407715,0.007310704793781042,4.743427753448486,0.008877284824848175,4.744898796081543,0.009508893825113773,4.7449164390563965,0.00962076336145401,-0.00011539459228515625,0.001566580031067133,1.7642974853515625e-05,0.00011186953634023666
pre,random_k,4.0,"(39, 45, 49)",4.7435431480407715,0.007310704793781042,4.743585109710693,0.007832897827029228,4.744898796081543,0.009508893825113773,4.744854927062988,0.008725808933377266,4.1961669921875e-05,0.0005221930332481861,-4.38690185546875e-05,-0.0007830848917365074
pre,random_k,5.0,"(56, 36, 12)",4.7435431480407715,0.007310704793781042,4.743564605712891,0.007310704793781042,4.744898796081543,0.009508893825113773,4.744864463806152,0.008949547074735165,2.1457672119140625e-05,0.0,-3.4332275390625e-05,-0.0005593467503786087
pre,random_k,6.0,"(25, 17, 8)",4.7435431480407715,0.007310704793781042,4.7435407638549805,0.008355091325938702,4.744898796081543,0.009508893825113773,4.744880199432373,0.009844501502811909,-2.384185791015625e-06,0.0010443865321576595,-1.8596649169921875e-05,0.0003356076776981354
pre,random_k,7.0,"(34, 37, 48)",4.7435431480407715,0.007310704793781042,4.743472576141357,0.007571801543235779,4.744898796081543,0.009508893825113773,4.744894027709961,0.008725808933377266,-7.05718994140625e-05,0.0002610967494547367,-4.76837158203125e-06,-0.0007830848917365074
pre,random_k,8.0,"(46, 54, 26)",4.7435431480407715,0.007310704793781042,4.7434611320495605,0.007571801543235779,4.744898796081543,0.009508893825113773,4.744932651519775,0.008949547074735165,-8.20159912109375e-05,0.0002610967494547367,3.3855438232421875e-05,-0.0005593467503786087
pre,random_k,9.0,"(26, 38, 46)",4.7435431480407715,0.007310704793781042,4.743412971496582,0.008355091325938702,4.744898796081543,0.009508893825113773,4.744938373565674,0.009397024288773537,-0.00013017654418945312,0.0010443865321576595,3.9577484130859375e-05,-0.00011186953634023666
pre,random_k,10.0,"(47, 56, 18)",4.7435431480407715,0.007310704793781042,4.743528842926025,0.008616187609732151,4.744898796081543,0.009508893825113773,4.744887828826904,0.008837677538394928,-1.430511474609375e-05,0.001305482815951109,-1.0967254638671875e-05,-0.0006712162867188454
pre,random_k,11.0,"(53, 8, 19)",4.7435431480407715,0.007310704793781042,4.7435407638549805,0.007049608509987593,4.744898796081543,0.009508893825113773,4.744877338409424,0.008390200324356556,-2.384185791015625e-06,-0.0002610962837934494,-2.1457672119140625e-05,-0.0011186935007572174
