checkpoint,trial_type,trial_id,selected_freqs,train_pre_loss,train_pre_acc,train_post_loss,train_post_acc,test_pre_loss,test_pre_acc,test_post_loss,test_post_acc,delta_train_loss,delta_train_acc,delta_test_loss,delta_test_acc
pre,target,,"(1, 11, 42)",4.741678714752197,0.01096605695784092,4.741656303405762,0.01044386439025402,4.745697498321533,0.007942723110318184,4.745711326599121,0.0068240296095609665,-2.2411346435546875e-05,-0.0005221925675868988,1.3828277587890625e-05,-0.0011186935007572174
pre,random_k,0.0,"(13, 48, 30)",4.741678714752197,0.01096605695784092,4.741727828979492,0.011488250456750393,4.745697498321533,0.007942723110318184,4.745649337768555,0.007942723110318184,4.9114227294921875e-05,0.0005221934989094734,-4.8160552978515625e-05,0.0
pre,random_k,1.0,"(27, 56, 13)",4.741678714752197,0.01096605695784092,4.741647243499756,0.01070496067404747,4.745697498321533,0.007942723110318184,4.745683670043945,0.008502069860696793,-3.147125244140625e-05,-0.0002610962837934494,-1.3828277587890625e-05,0.0005593467503786087
pre,random_k,2.0,"(12, 29, 18)",4.741678714752197,0.01096605695784092,4.7417731285095215,0.010182767175137997,4.745697498321533,0.007942723110318184,4.745626926422119,0.008390200324356556,9.441375732421875e-05,-0.0007832897827029228,-7.05718994140625e-05,0.00044747721403837204
pre,random_k,3.0,"(32, 12, 41)",4.741678714752197,0.01096605695784092,4.741711139678955,0.01044386439025402,4.745697498321533,0.007942723110318184,4.745651721954346,0.008949547074735165,3.24249267578125e-05,-0.0005221925675868988,-4.57763671875e-05,0.0010068239644169807
pre,random_k,4.0,"(39, 45, 49)",4.741678714752197,0.01096605695784092,4.7415876388549805,0.010182767175137997,4.745697498321533,0.007942723110318184,4.745710849761963,0.007718984503298998,-9.107589721679688e-05,-0.0007832897827029228,1.33514404296875e-05,-0.00022373860701918602
pre,random_k,5.0,"(56, 36, 12)",4.741678714752197,0.01096605695784092,4.741723537445068,0.01044386439025402,4.745697498321533,0.007942723110318184,4.74565315246582,0.007607114966958761,4.482269287109375e-05,-0.0005221925675868988,-4.4345855712890625e-05,-0.0003356081433594227
pre,random_k,6.0,"(25, 17, 8)",4.741678714752197,0.01096605695784092,4.741748809814453,0.011488250456750393,4.745697498321533,0.007942723110318184,4.745648384094238,0.008502069860696793,7.009506225585938e-05,0.0005221934989094734,-4.9114227294921875e-05,0.0005593467503786087
pre,random_k,7.0,"(34, 37, 48)",4.741678714752197,0.01096605695784092,4.7415876388549805,0.01044386439025402,4.745697498321533,0.007942723110318184,4.745701789855957,0.007495245896279812,-9.107589721679688e-05,-0.0005221925675868988,4.291534423828125e-06,-0.00044747721403837204
pre,random_k,8.0,"(46, 54, 26)",4.741678714752197,0.01096605695784092,4.741703033447266,0.01044386439025402,4.745697498321533,0.007942723110318184,4.745686054229736,0.007718984503298998,2.4318695068359375e-05,-0.0005221925675868988,-1.1444091796875e-05,-0.00022373860701918602
pre,random_k,9.0,"(26, 38, 46)",4.741678714752197,0.01096605695784092,4.741693019866943,0.011227154172956944,4.745697498321533,0.007942723110318184,4.745675563812256,0.008166462182998657,1.430511474609375e-05,0.000261097215116024,-2.193450927734375e-05,0.00022373907268047333
pre,random_k,10.0,"(47, 56, 18)",4.741678714752197,0.01096605695784092,4.741635799407959,0.011227154172956944,4.745697498321533,0.007942723110318184,4.74569845199585,0.007718984503298998,-4.291534423828125e-05,0.000261097215116024,9.5367431640625e-07,-0.00022373860701918602
pre,random_k,11.0,"(53, 8, 19)",4.741678714752197,0.01096605695784092,4.741668224334717,0.01044386439025402,4.745697498321533,0.007942723110318184,4.74567985534668,0.006935899145901203,-1.049041748046875e-05,-0.0005221925675868988,-1.7642974853515625e-05,-0.0010068239644169807
pre,random_k,12.0,"(7, 15, 9)",4.741678714752197,0.01096605695784092,4.741604328155518,0.01070496067404747,4.745697498321533,0.007942723110318184,4.7457122802734375,0.00827833078801632,-7.43865966796875e-05,-0.0002610962837934494,1.4781951904296875e-05,0.0003356076776981354
pre,random_k,13.0,"(51, 45, 9)",4.741678714752197,0.01096605695784092,4.7416276931762695,0.011227154172956944,4.745697498321533,0.007942723110318184,4.745695114135742,0.007607114966958761,-5.1021575927734375e-05,0.000261097215116024,-2.384185791015625e-06,-0.0003356081433594227
pre,random_k,14.0,"(10, 28, 19)",4.741678714752197,0.01096605695784092,4.741674900054932,0.011488250456750393,4.745697498321533,0.007942723110318184,4.745688438415527,0.0070477682165801525,-3.814697265625e-06,0.0005221934989094734,-9.059906005859375e-06,-0.0008949548937380314
pre,random_k,15.0,"(33, 2, 45)",4.741678714752197,0.01096605695784092,4.7416276931762695,0.011749346740543842,4.745697498321533,0.007942723110318184,4.745691776275635,0.0070477682165801525,-5.1021575927734375e-05,0.0007832897827029228,-5.7220458984375e-06,-0.0008949548937380314
pre,random_k,16.0,"(32, 43, 31)",4.741678714752197,0.01096605695784092,4.7417755126953125,0.009921670891344547,4.745697498321533,0.007942723110318184,4.745640754699707,0.008166462182998657,9.679794311523438e-05,-0.0010443860664963722,-5.6743621826171875e-05,0.00022373907268047333
pre,random_k,17.0,"(18, 2, 4)",4.741678714752197,0.01096605695784092,4.741659641265869,0.01044386439025402,4.745697498321533,0.007942723110318184,4.745676040649414,0.006935899145901203,-1.9073486328125e-05,-0.0005221925675868988,-2.1457672119140625e-05,-0.0010068239644169807
pre,random_k,18.0,"(52, 37, 49)",4.741678714752197,0.01096605695784092,4.741509437561035,0.01044386439025402,4.745697498321533,0.007942723110318184,4.745755672454834,0.007718984503298998,-0.00016927719116210938,-0.0005221925675868988,5.817413330078125e-05,-0.00022373860701918602
pre,random_k,19.0,"(22, 31, 47)",4.741678714752197,0.01096605695784092,4.741615295410156,0.010182767175137997,4.745697498321533,0.007942723110318184,4.745718479156494,0.007830853573977947,-6.341934204101562e-05,-0.0007832897827029228,2.09808349609375e-05,-0.00011186953634023666
pre,random_k,20.0,"(34, 44, 56)",4.741678714752197,0.01096605695784092,4.741579532623291,0.01070496067404747,4.745697498321533,0.007942723110318184,4.745720863342285,0.008390200324356556,-9.918212890625e-05,-0.0002610962837934494,2.3365020751953125e-05,0.00044747721403837204
pre,random_k,21.0,"(54, 20, 51)",4.741678714752197,0.01096605695784092,4.741707801818848,0.01096605695784092,4.745697498321533,0.007942723110318184,4.745667457580566,0.007159637752920389,2.9087066650390625e-05,0.0,-3.0040740966796875e-05,-0.0007830853573977947
pre,random_k,22.0,"(13, 19, 21)",4.741678714752197,0.01096605695784092,4.7416815757751465,0.01044386439025402,4.745697498321533,0.007942723110318184,4.745674133300781,0.007159637752920389,2.86102294921875e-06,-0.0005221925675868988,-2.3365020751953125e-05,-0.0007830853573977947
pre,random_k,23.0,"(12, 46, 4)",4.741678714752197,0.01096605695784092,4.741761207580566,0.008877284824848175,4.745697498321533,0.007942723110318184,4.7456536293029785,0.007607114966958761,8.249282836914062e-05,-0.0020887721329927444,-4.38690185546875e-05,-0.0003356081433594227
pre,random_k,24.0,"(34, 16, 15)",4.741678714752197,0.01096605695784092,4.741605281829834,0.010182767175137997,4.745697498321533,0.007942723110318184,4.745697975158691,0.006712160538882017,-7.343292236328125e-05,-0.0007832897827029228,4.76837158203125e-07,-0.0012305625714361668
